sim,region_name,day,A,alpha,delta,gamma,mew,mew1,N,Vp,Vf,S,E,I,R
0,SPAIN,10,700000,0.000010,1.25,0.85,0.15,0.160,39040700,0.70,0.60,4652,12526100,14894400,11615500
0,ARGENTINA,11,700000,0.000011,1.27,0.84,0.15,0.163,37321900,0.65,0.55,4326,10499700,14567500,12250300
0,SPAIN,11,700000,0.000010,1.25,0.85,0.15,0.160,38312800,0.70,0.60,4724,10959100,14651900,12697100
0,ARGENTINA,12,700000,0.000011,1.27,0.84,0.15,0.163,36624000,0.65,0.55,4444,9194720,14168400,13256400
0,SPAIN,12,700000,0.000010,1.25,0.85,0.15,0.160,37600400,0.70,0.60,4848,9596110,14263300,13736200
0,ARGENTINA,13,700000,0.000011,1.27,0.84,0.15,0.163,35918500,0.65,0.55,4609,8020740,13648100,14245100
0,SPAIN,13,700000,0.000010,1.25,0.85,0.15,0.160,36905400,0.70,0.60,5018,8410690,13767000,14722700
0,ARGENTINA,14,700000,0.000011,1.27,0.84,0.15,0.163,35257000,0.65,0.55,4807,7038860,13074000,15139300
0,SPAIN,14,700000,0.000010,1.25,0.85,0.15,0.160,36229000,0.70,0.60,5230,7379660,13194400,15649700
0,ARGENTINA,15,700000,0.000011,1.27,0.84,0.15,0.163,34614500,0.65,0.55,5042,6184960,12453200,15971400
0,SPAIN,15,700000,0.000010,1.25,0.85,0.15,0.160,35571800,0.70,0.60,5484,6482920,12570700,16512700
0,ARGENTINA,16,700000,0.000011,1.27,0.84,0.15,0.163,33968800,0.65,0.55,5324,5416780,11780300,16766400
0,SPAIN,16,700000,0.000010,1.25,0.85,0.15,0.160,34934300,0.70,0.60,5778,5702960,11916400,17309200
0,ARGENTINA,17,700000,0.000011,1.27,0.84,0.15,0.163,33365800,0.65,0.55,5634,4774260,11119100,17466800
0,SPAIN,17,700000,0.000010,1.25,0.85,0.15,0.160,34316500,0.70,0.60,6113,5024560,11247600,18038200
0,ARGENTINA,18,700000,0.000011,1.27,0.84,0.15,0.163,32782100,0.65,0.55,5982,4215470,10457900,18102700
0,SPAIN,18,700000,0.000010,1.25,0.85,0.15,0.160,33718300,0.70,0.60,6492,4434480,10577100,18700100
0,ARGENTINA,19,700000,0.000011,1.27,0.84,0.15,0.163,32196800,0.65,0.55,6387,3712750,9782100,18695500
0,SPAIN,19,700000,0.000010,1.25,0.85,0.15,0.160,33139200,0.70,0.60,6914,3921220,9914860,19296200
0,ARGENTINA,20,700000,0.000011,1.27,0.84,0.15,0.163,31651000,0.65,0.55,6820,3292230,9147110,19204900
0,SPAIN,20,700000,0.000010,1.25,0.85,0.15,0.160,32579000,0.70,0.60,7384,3474760,9268360,19828500
0,ARGENTINA,21,700000,0.000011,1.27,0.84,0.15,0.163,31103900,0.65,0.55,7317,2913890,8511530,19671200
0,ARGENTINA,22,700000,0.000011,1.27,0.84,0.15,0.163,30593800,0.65,0.55,7845,2597380,7924580,20064000
0,SPAIN,21,700000,0.000010,1.25,0.85,0.15,0.160,32036900,0.70,0.60,7904,3086390,8643260,20299300
0,ARGENTINA,23,700000,0.000011,1.27,0.84,0.15,0.163,30100200,0.65,0.55,8424,2322060,7365620,20404100
0,SPAIN,22,700000,0.000010,1.25,0.85,0.15,0.160,31512300,0.70,0.60,8476,2748530,8043620,20711700
0,ARGENTINA,24,700000,0.000011,1.27,0.84,0.15,0.163,29605000,0.65,0.55,9082,2074310,6817160,20704400
0,SPAIN,23,700000,0.000010,1.25,0.85,0.15,0.160,31004700,0.70,0.60,9104,2454600,7472230,21068700
0,ARGENTINA,25,700000,0.000011,1.27,0.84,0.15,0.163,29142800,0.65,0.55,9775,1867000,6319180,20946800
0,SPAIN,24,700000,0.000010,1.25,0.85,0.15,0.160,30513200,0.70,0.60,9792,2198860,6930840,21373700
0,ARGENTINA,26,700000,0.000011,1.27,0.84,0.15,0.163,28678600,0.65,0.55,10560,1680410,5834970,21152600
0,SPAIN,25,700000,0.000010,1.25,0.85,0.15,0.160,30037100,0.70,0.60,10543,1976340,6420370,21629800
0,ARGENTINA,27,700000,0.000011,1.27,0.84,0.15,0.163,28244900,0.65,0.55,11383,1524250,5398800,21310400
0,SPAIN,26,700000,0.000010,1.25,0.85,0.15,0.160,29575700,0.70,0.60,11362,1782690,5941120,21840600
0,ARGENTINA,28,700000,0.000011,1.27,0.84,0.15,0.163,27824100,0.65,0.55,12275,1388320,4992150,21431400
0,SPAIN,27,700000,0.000010,1.25,0.85,0.15,0.160,29128400,0.70,0.60,12253,1614140,5492840,22009200
0,ARGENTINA,29,700000,0.000011,1.27,0.84,0.15,0.163,27400800,0.65,0.55,13277,1265920,4600610,21521000
0,SPAIN,28,700000,0.000010,1.25,0.85,0.15,0.160,28694400,0.70,0.60,13219,1467420,5074940,22138800
0,ARGENTINA,30,700000,0.000011,1.27,0.84,0.15,0.163,27004500,0.65,0.55,14322,1163410,4251000,21575800
0,SPAIN,29,700000,0.000010,1.25,0.85,0.15,0.160,28273000,0.70,0.60,14265,1339670,4686480,22232600
0,ARGENTINA,31,700000,0.000011,1.27,0.84,0.15,0.163,26619200,0.65,0.55,15447,1074120,3927540,21602100
0,SPAIN,30,700000,0.000010,1.25,0.85,0.15,0.160,27863700,0.70,0.60,15395,1228420,4326350,22293600
0,ARGENTINA,32,700000,0.000011,1.27,0.84,0.15,0.163,26230800,0.65,0.55,16702,993639,3618290,21602200
0,SPAIN,31,700000,0.000010,1.25,0.85,0.15,0.160,27465800,0.70,0.60,16612,1131490,3993260,22324400
0,ARGENTINA,33,700000,0.000011,1.27,0.84,0.15,0.163,25866400,0.65,0.55,18001,926166,3343900,21578300
0,SPAIN,32,700000,0.000010,1.25,0.85,0.15,0.160,27078700,0.70,0.60,17921,1047020,3685860,22327900
0,ARGENTINA,34,700000,0.000011,1.27,0.84,0.15,0.163,25498400,0.65,0.55,19442,865292,3082530,21531200
0,SPAIN,33,700000,0.000010,1.25,0.85,0.15,0.160,26701800,0.70,0.60,19325,973375,3402690,22306400
0,ARGENTINA,35,700000,0.000011,1.27,0.84,0.15,0.163,25152800,0.65,0.55,20925,814200,2851390,21466300
0,SPAIN,34,700000,0.000010,1.25,0.85,0.15,0.160,26334700,0.70,0.60,20826,909132,3142310,22262500
0,ARGENTINA,36,700000,0.000011,1.27,0.84,0.15,0.163,24815600,0.65,0.55,22500,769586,2639380,21384100
0,SPAIN,35,700000,0.000010,1.25,0.85,0.15,0.160,25976900,0.70,0.60,22426,853058,2903260,22198200
0,ARGENTINA,37,700000,0.000011,1.27,0.84,0.15,0.163,24474500,0.65,0.55,24232,729252,2438290,21282700
0,SPAIN,36,700000,0.000010,1.25,0.85,0.15,0.160,25627900,0.70,0.60,24128,804081,2684130,22115500
0,ARGENTINA,38,700000,0.000011,1.27,0.84,0.15,0.163,24153400,0.65,0.55,25997,695318,2261160,21170900
0,SPAIN,37,700000,0.000010,1.25,0.85,0.15,0.160,25287200,0.70,0.60,25931,761268,2483500,22016500
0,ARGENTINA,39,700000,0.000011,1.27,0.84,0.15,0.163,23828100,0.65,0.55,27924,664580,2093540,21042000
0,SPAIN,38,700000,0.000010,1.25,0.85,0.15,0.160,24954500,0.70,0.60,27836,723810,2300050,21902800
0,ARGENTINA,40,700000,0.000011,1.27,0.84,0.15,0.163,23521500,0.65,0.55,29874,638664,1946200,20906800
0,SPAIN,39,700000,0.000010,1.25,0.85,0.15,0.160,24629300,0.70,0.60,29841,691003,2132480,21776000
0,ARGENTINA,41,700000,0.000011,1.27,0.84,0.15,0.163,23221700,0.65,0.55,31909,615919,1811790,20762000
0,SPAIN,40,700000,0.000010,1.25,0.85,0.15,0.160,24311400,0.70,0.60,31944,662236,1979570,21637600
0,ARGENTINA,42,700000,0.000011,1.27,0.84,0.15,0.163,22917400,0.65,0.55,34107,595237,1684940,20603100
0,SPAIN,41,700000,0.000010,1.25,0.85,0.15,0.160,24000400,0.70,0.60,34141,636979,1840180,21489100
0,ARGENTINA,43,700000,0.000011,1.27,0.84,0.15,0.163,22630200,0.65,0.55,36304,577727,1573710,20442400
0,SPAIN,42,700000,0.000010,1.25,0.85,0.15,0.160,23696000,0.70,0.60,36428,614773,1713200,21331600
0,ARGENTINA,44,700000,0.000011,1.27,0.84,0.15,0.163,22348800,0.65,0.55,38570,562292,1472460,20275400
0,SPAIN,43,700000,0.000010,1.25,0.85,0.15,0.160,23397900,0.70,0.60,38798,595221,1597620,21166200
0,ARGENTINA,45,700000,0.000011,1.27,0.84,0.15,0.163,22062900,0.65,0.55,40986,548190,1377100,20096600
0,SPAIN,44,700000,0.000010,1.25,0.85,0.15,0.160,23105800,0.70,0.60,41246,577976,1492490,20994100
0,ARGENTINA,46,700000,0.000011,1.27,0.84,0.15,0.163,21792600,0.65,0.55,43370,536193,1293640,19919400
0,SPAIN,45,700000,0.000010,1.25,0.85,0.15,0.160,22819600,0.70,0.60,43761,562742,1396920,20816100
0,ARGENTINA,47,700000,0.000011,1.27,0.84,0.15,0.163,21517800,0.65,0.55,45889,525195,1215120,19731600
0,SPAIN,46,700000,0.000010,1.25,0.85,0.15,0.160,22538900,0.70,0.60,46336,549260,1310100,20633200
0,ARGENTINA,48,700000,0.000011,1.27,0.84,0.15,0.163,21257900,0.65,0.55,48351,515805,1146470,19547300
0,SPAIN,47,700000,0.000010,1.25,0.85,0.15,0.160,22263500,0.70,0.60,48960,537309,1231250,20446000
0,ARGENTINA,49,700000,0.000011,1.27,0.84,0.15,0.163,21002800,0.65,0.55,50836,507460,1084120,19360300
0,SPAIN,48,700000,0.000010,1.25,0.85,0.15,0.160,21993400,0.70,0.60,51622,526695,1159680,20255400
0,ARGENTINA,50,700000,0.000011,1.27,0.84,0.15,0.163,20743000,0.65,0.55,53426,499774,1025540,19164300
0,SPAIN,49,700000,0.000010,1.25,0.85,0.15,0.160,21728200,0.70,0.60,54311,517253,1094730,20061900
0,ARGENTINA,51,700000,0.000011,1.27,0.84,0.15,0.163,20497100,0.65,0.55,55923,493182,974363,18973700
0,SPAIN,50,700000,0.000010,1.25,0.85,0.15,0.160,21467800,0.70,0.60,57014,508840,1035830,19866100
0,ARGENTINA,52,700000,0.000011,1.27,0.84,0.15,0.163,20246700,0.65,0.55,58501,487095,926306,18774800
0,SPAIN,51,700000,0.000010,1.25,0.85,0.15,0.160,21221100,0.70,0.60,59623,501587,984233,19675700
0,ARGENTINA,53,700000,0.000011,1.27,0.84,0.15,0.163,20009500,0.65,0.55,60964,481864,884353,18582300
0,SPAIN,52,700000,0.000010,1.25,0.85,0.15,0.160,20969700,0.70,0.60,62320,494852,935642,19476900
0,ARGENTINA,54,700000,0.000011,1.27,0.84,0.15,0.163,19776300,0.65,0.55,63394,477189,846312,18389400
0,SPAIN,53,700000,0.000010,1.25,0.85,0.15,0.160,20722700,0.70,0.60,64995,488828,891602,19277200
0,ARGENTINA,55,700000,0.000011,1.27,0.84,0.15,0.163,19538600,0.65,0.55,65869,472864,810613,18189200
0,SPAIN,54,700000,0.000010,1.25,0.85,0.15,0.160,20479800,0.70,0.60,67637,483435,851697,19077100
0,ARGENTINA,56,700000,0.000011,1.27,0.84,0.15,0.163,19313300,0.65,0.55,68201,469142,779469,17996500
0,SPAIN,55,700000,0.000010,1.25,0.85,0.15,0.160,20241100,0.70,0.60,70235,478603,815544,18876700
0,ARGENTINA,57,700000,0.000011,1.27,0.84,0.15,0.163,19091700,0.65,0.55,70473,465815,751248,17804200
0,SPAIN,56,700000,0.000010,1.25,0.85,0.15,0.160,20006400,0.70,0.60,72779,474272,782798,18676500
0,ARGENTINA,58,700000,0.000011,1.27,0.84,0.15,0.163,18865700,0.65,0.55,72756,462738,724780,17605500
0,SPAIN,57,700000,0.000010,1.25,0.85,0.15,0.160,19775500,0.70,0.60,75260,470391,753142,18476700
0,ARGENTINA,59,700000,0.000011,1.27,0.84,0.15,0.163,18651400,0.65,0.55,74881,460096,701705,17414700
0,SPAIN,58,700000,0.000010,1.25,0.85,0.15,0.160,19548400,0.70,0.60,77668,466913,726289,18277600
0,ARGENTINA,60,700000,0.000011,1.27,0.84,0.15,0.163,18432800,0.65,0.55,76999,457658,680073,17218100
0,SPAIN,59,700000,0.000010,1.25,0.85,0.15,0.160,19325000,0.70,0.60,79996,463797,701979,18079200
0,ARGENTINA,61,700000,0.000011,1.27,0.84,0.15,0.163,18225400,0.65,0.55,78954,455570,661223,17029600
0,ARGENTINA,62,700000,0.000011,1.27,0.84,0.15,0.163,18021200,0.65,0.55,80820,453715,644160,16842600
0,SPAIN,60,700000,0.000010,1.25,0.85,0.15,0.160,19105200,0.70,0.60,82239,461009,679974,17882000
0,ARGENTINA,63,700000,0.000011,1.27,0.84,0.15,0.163,17812900,0.65,0.55,82658,452014,628177,16650100
0,SPAIN,61,700000,0.000010,1.25,0.85,0.15,0.160,18888900,0.70,0.60,84390,458516,660059,17685900
0,ARGENTINA,64,700000,0.000011,1.27,0.84,0.15,0.163,17615200,0.65,0.55,84337,450566,614261,16466100
0,SPAIN,62,700000,0.000010,1.25,0.85,0.15,0.160,18676000,0.70,0.60,86447,456290,642040,17491200
0,ARGENTINA,65,700000,0.000011,1.27,0.84,0.15,0.163,17413400,0.65,0.55,85978,449246,601233,16277000
0,SPAIN,63,700000,0.000010,1.25,0.85,0.15,0.160,18466400,0.70,0.60,88405,454307,625740,17298000
0,ARGENTINA,66,700000,0.000011,1.27,0.84,0.15,0.163,17221900,0.65,0.55,87466,448130,589897,16096400
0,SPAIN,64,700000,0.000010,1.25,0.85,0.15,0.160,18260100,0.70,0.60,90263,452542,610998,17106300
0,ARGENTINA,67,700000,0.000011,1.27,0.84,0.15,0.163,17033300,0.65,0.55,88862,447153,579653,15917600
0,SPAIN,65,700000,0.000010,1.25,0.85,0.15,0.160,18057000,0.70,0.60,92020,450976,597669,16916300
0,ARGENTINA,68,700000,0.000011,1.27,0.84,0.15,0.163,16840700,0.65,0.55,90215,446272,570074,15734200
0,SPAIN,66,700000,0.000010,1.25,0.85,0.15,0.160,17857000,0.70,0.60,93676,449590,585621,16728100
0,ARGENTINA,69,700000,0.000011,1.27,0.84,0.15,0.163,16657900,0.65,0.55,91429,445536,561750,15559200
0,SPAIN,67,700000,0.000010,1.25,0.85,0.15,0.160,17660100,0.70,0.60,95233,448366,574734,16541800
0,ARGENTINA,70,700000,0.000011,1.27,0.84,0.15,0.163,16477800,0.65,0.55,92558,444901,554237,15386100
0,SPAIN,68,700000,0.000010,1.25,0.85,0.15,0.160,17466200,0.70,0.60,96690,447289,564900,16357300
0,ARGENTINA,71,700000,0.000011,1.27,0.84,0.15,0.163,16293900,0.65,0.55,93643,444337,547222,15208700
0,SPAIN,69,700000,0.000010,1.25,0.85,0.15,0.160,17275200,0.70,0.60,98051,446344,556020,16174800
0,ARGENTINA,72,700000,0.000011,1.27,0.84,0.15,0.163,16119300,0.65,0.55,94608,443875,541135,15039700
0,SPAIN,70,700000,0.000010,1.25,0.85,0.15,0.160,17087100,0.70,0.60,99319,445518,548005,15994300
0,ARGENTINA,73,700000,0.000011,1.27,0.84,0.15,0.163,15941000,0.65,0.55,95531,443469,535458,14866500
0,SPAIN,71,700000,0.000010,1.25,0.85,0.15,0.160,16901900,0.70,0.60,100496,444799,540774,15815800
0,ARGENTINA,74,700000,0.000011,1.27,0.84,0.15,0.163,15771600,0.65,0.55,96348,443142,530537,14701600
0,SPAIN,72,700000,0.000010,1.25,0.85,0.15,0.160,16719400,0.70,0.60,101587,444175,534253,15639400
0,ARGENTINA,75,700000,0.000011,1.27,0.84,0.15,0.163,15604800,0.65,0.55,97098,442870,526109,14538700
0,SPAIN,73,700000,0.000010,1.25,0.85,0.15,0.160,16539600,0.70,0.60,102594,443638,528375,15465000
0,ARGENTINA,76,700000,0.000011,1.27,0.84,0.15,0.163,15434400,0.65,0.55,97810,442638,521987,14371900
0,SPAIN,74,700000,0.000010,1.25,0.85,0.15,0.160,16362600,0.70,0.60,103523,443177,523081,15292800
0,ARGENTINA,77,700000,0.000011,1.27,0.84,0.15,0.163,15272500,0.65,0.55,98436,442458,518421,14213200
0,SPAIN,75,700000,0.000010,1.25,0.85,0.15,0.160,16188100,0.70,0.60,104377,442783,518313,15122700
0,ARGENTINA,78,700000,0.000011,1.27,0.84,0.15,0.163,15107200,0.65,0.55,99027,442309,515106,14050700
0,SPAIN,76,700000,0.000010,1.25,0.85,0.15,0.160,16016300,0.70,0.60,105161,442450,514024,14954600
0,ARGENTINA,79,700000,0.000011,1.27,0.84,0.15,0.163,14950100,0.65,0.55,99545,442198,512243,13896100
0,SPAIN,77,700000,0.000010,1.25,0.85,0.15,0.160,15847000,0.70,0.60,105878,442170,510166,14788700
0,ARGENTINA,80,700000,0.000011,1.27,0.84,0.15,0.163,14795400,0.65,0.55,100016,442113,509676,13743600
0,SPAIN,78,700000,0.000010,1.25,0.85,0.15,0.160,15680100,0.70,0.60,106533,441936,506700,14625000
0,ARGENTINA,81,700000,0.000011,1.27,0.84,0.15,0.163,14637300,0.65,0.55,100458,442050,507294,13587500
0,SPAIN,79,700000,0.000010,1.25,0.85,0.15,0.160,15515800,0.70,0.60,107131,441743,503586,14463300
0,ARGENTINA,82,700000,0.000011,1.27,0.84,0.15,0.163,14487100,0.65,0.55,100843,442009,505242,13439000
0,SPAIN,80,700000,0.000010,1.25,0.85,0.15,0.160,15353800,0.70,0.60,107675,441586,500792,14303800
0,ARGENTINA,83,700000,0.000011,1.27,0.84,0.15,0.163,14339100,0.65,0.55,101191,441985,503407,13292500
0,SPAIN,81,700000,0.000010,1.25,0.85,0.15,0.160,15194200,0.70,0.60,108169,441459,498286,14146300
0,ARGENTINA,84,700000,0.000011,1.27,0.84,0.15,0.163,14187900,0.65,0.55,101516,441974,501708,13142700
0,SPAIN,82,700000,0.000010,1.25,0.85,0.15,0.160,15037000,0.70,0.60,108618,441359,496040,13991000
0,ARGENTINA,85,700000,0.000011,1.27,0.84,0.15,0.163,14044300,0.65,0.55,101798,441974,500249,13000300
0,SPAIN,83,700000,0.000010,1.25,0.85,0.15,0.160,14882100,0.70,0.60,109023,441282,494030,13837700
0,ARGENTINA,86,700000,0.000011,1.27,0.84,0.15,0.163,13897600,0.65,0.55,102060,441985,498901,12854600
0,SPAIN,84,700000,0.000010,1.25,0.85,0.15,0.160,14729400,0.70,0.60,109390,441225,492230,13686500
0,ARGENTINA,87,700000,0.000011,1.27,0.84,0.15,0.163,13758200,0.65,0.55,102287,442003,497745,12716100
0,SPAIN,85,700000,0.000010,1.25,0.85,0.15,0.160,14578900,0.70,0.60,109721,441184,490622,13537400
0,ARGENTINA,88,700000,0.000011,1.27,0.84,0.15,0.163,13620800,0.65,0.55,102490,442026,496715,12579600
0,SPAIN,86,700000,0.000010,1.25,0.85,0.15,0.160,14430700,0.70,0.60,110019,441158,489185,13390300
0,ARGENTINA,89,700000,0.000011,1.27,0.84,0.15,0.163,13480400,0.65,0.55,102679,442055,495767,12439900
0,SPAIN,87,700000,0.000010,1.25,0.85,0.15,0.160,14284600,0.70,0.60,110287,441143,487902,13245200
0,ARGENTINA,90,700000,0.000011,1.27,0.84,0.15,0.163,13347100,0.65,0.55,102841,442086,494955,12307200
0,SPAIN,88,700000,0.000010,1.25,0.85,0.15,0.160,14140600,0.70,0.60,110528,441137,486758,13102200
0,ARGENTINA,91,700000,0.000011,1.27,0.84,0.15,0.163,13210800,0.65,0.55,102991,442121,494210,12171500
0,SPAIN,89,700000,0.000010,1.25,0.85,0.15,0.160,13998700,0.70,0.60,110745,441140,485739,12961100
0,ARGENTINA,92,700000,0.000011,1.27,0.84,0.15,0.163,13081400,0.65,0.55,103119,442156,493574,12042500
0,SPAIN,90,700000,0.000010,1.25,0.85,0.15,0.160,13858900,0.70,0.60,110938,441149,484832,12822000
0,ARGENTINA,93,700000,0.000011,1.27,0.84,0.15,0.163,12953800,0.65,0.55,103234,442192,493010,11915400
0,SPAIN,91,700000,0.000010,1.25,0.85,0.15,0.160,13721100,0.70,0.60,111112,441163,484025,12684800
0,ARGENTINA,94,700000,0.000011,1.27,0.84,0.15,0.163,12823400,0.65,0.55,103339,442229,492494,11785400
0,SPAIN,92,700000,0.000010,1.25,0.85,0.15,0.160,13585300,0.70,0.60,111266,441181,483309,12549500
0,ARGENTINA,95,700000,0.000011,1.27,0.84,0.15,0.163,12699600,0.65,0.55,103429,442265,492054,11661800
0,SPAIN,93,700000,0.000010,1.25,0.85,0.15,0.160,13451400,0.70,0.60,111404,441203,482672,12416200
0,ARGENTINA,96,700000,0.000011,1.27,0.84,0.15,0.163,12577500,0.65,0.55,103509,442300,491666,11540100
0,SPAIN,94,700000,0.000010,1.25,0.85,0.15,0.160,13319500,0.70,0.60,111527,441226,482108,12284700
0,ARGENTINA,97,700000,0.000011,1.27,0.84,0.15,0.163,12452800,0.65,0.55,103582,442336,491312,11415600
0,SPAIN,95,700000,0.000010,1.25,0.85,0.15,0.160,13189600,0.70,0.60,111637,441251,481609,12155100
0,ARGENTINA,98,700000,0.000011,1.27,0.84,0.15,0.163,12334300,0.65,0.55,103645,442369,491012,11297300
0,SPAIN,96,700000,0.000010,1.25,0.85,0.15,0.160,13061400,0.70,0.60,111734,441277,481167,12027300
0,ARGENTINA,99,700000,0.000011,1.27,0.84,0.15,0.163,12213200,0.65,0.55,103701,442402,490739,11176400
0,SPAIN,97,700000,0.000010,1.25,0.85,0.15,0.160,12935200,0.70,0.60,111821,441303,480776,11901300
0,ARGENTINA,100,700000,0.000011,1.27,0.84,0.15,0.163,12098200,0.65,0.55,103750,442432,490508,11061500
0,SPAIN,98,700000,0.000010,1.25,0.85,0.15,0.160,12810800,0.70,0.60,111897,441329,480431,11777100
0,ARGENTINA,101,700000,0.000011,1.27,0.84,0.15,0.163,11984800,0.65,0.55,103792,442461,490305,10948200
0,SPAIN,99,700000,0.000010,1.25,0.85,0.15,0.160,12688100,0.70,0.60,111965,441355,480127,11654700
0,ARGENTINA,102,700000,0.000011,1.27,0.84,0.15,0.163,11868900,0.65,0.55,103831,442490,490121,10832500
0,ARGENTINA,103,700000,0.000011,1.27,0.84,0.15,0.163,11758900,0.65,0.55,103864,442515,489966,10722500
0,SPAIN,100,700000,0.000010,1.25,0.85,0.15,0.160,12567300,0.70,0.60,112025,441381,479859,11534000
0,ARGENTINA,104,700000,0.000011,1.27,0.84,0.15,0.163,11646400,0.65,0.55,103893,442540,489826,10610100
0,SPAIN,101,700000,0.000010,1.25,0.85,0.15,0.160,12448100,0.70,0.60,112078,441406,479623,11415000
0,ARGENTINA,105,700000,0.000011,1.27,0.84,0.15,0.163,11539500,0.65,0.55,103918,442563,489709,10503300
0,SPAIN,102,700000,0.000010,1.25,0.85,0.15,0.160,12334900,0.70,0.60,112123,441429,479423,11301900
0,ARGENTINA,106,700000,0.000011,1.27,0.84,0.15,0.163,11434200,0.65,0.55,103940,442584,489607,10398000
0,SPAIN,103,700000,0.000010,1.25,0.85,0.15,0.160,12219100,0.70,0.60,112164,441452,479240,11186300
0,ARGENTINA,107,700000,0.000011,1.27,0.84,0.15,0.163,11326500,0.65,0.55,103960,442604,489515,10290500
0,SPAIN,104,700000,0.000010,1.25,0.85,0.15,0.160,12105000,0.70,0.60,112201,441474,479080,11072300
0,ARGENTINA,108,700000,0.000011,1.27,0.84,0.15,0.163,11224300,0.65,0.55,103976,442622,489438,10188200
0,SPAIN,105,700000,0.000010,1.25,0.85,0.15,0.160,11992600,0.70,0.60,112232,441495,478940,10959900
0,ARGENTINA,109,700000,0.000011,1.27,0.84,0.15,0.163,11123500,0.65,0.55,103990,442639,489372,10087500
0,SPAIN,106,700000,0.000010,1.25,0.85,0.15,0.160,11881800,0.70,0.60,112260,441515,478818,10849200
0,ARGENTINA,110,700000,0.000011,1.27,0.84,0.15,0.163,11020500,0.65,0.55,104003,442655,489312,9984510
0,SPAIN,107,700000,0.000010,1.25,0.85,0.15,0.160,11772500,0.70,0.60,112285,441533,478711,10740000
0,ARGENTINA,111,700000,0.000011,1.27,0.84,0.15,0.163,10922600,0.65,0.55,104014,442669,489263,9886670
0,SPAIN,108,700000,0.000010,1.25,0.85,0.15,0.160,11664900,0.70,0.60,112306,441551,478618,10632400
0,ARGENTINA,112,700000,0.000011,1.27,0.84,0.15,0.163,10822600,0.65,0.55,104024,442683,489219,9786700
0,SPAIN,109,700000,0.000010,1.25,0.85,0.15,0.160,11558800,0.70,0.60,112325,441567,478537,10526300
0,ARGENTINA,113,700000,0.000011,1.27,0.84,0.15,0.163,10727600,0.65,0.55,104031,442695,489183,9691700
0,SPAIN,110,700000,0.000010,1.25,0.85,0.15,0.160,11454200,0.70,0.60,112341,441582,478467,10421800
0,ARGENTINA,114,700000,0.000011,1.27,0.84,0.15,0.163,10634000,0.65,0.55,104038,442706,489152,9598070
0,SPAIN,111,700000,0.000010,1.25,0.85,0.15,0.160,11351100,0.70,0.60,112355,441597,478407,10318800
0,ARGENTINA,115,700000,0.000011,1.27,0.84,0.15,0.163,10538300,0.65,0.55,104044,442717,489125,9502390
0,SPAIN,112,700000,0.000010,1.25,0.85,0.15,0.160,11249600,0.70,0.60,112368,441610,478354,10217200
0,ARGENTINA,116,700000,0.000011,1.27,0.84,0.15,0.163,10447400,0.65,0.55,104049,442726,489103,9411480
